id	name	created_time	created_time_unix	link	imageurl	likecount	reactionscount	commentcount
991145641012266		2016-10-17T06:52:37+0000	1476687157	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991145641012266/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14716143_991145641012266_879248040439465023_n.jpg?oh=7a8effe0719b7e7b102593d208d04d21&oe=58B46305	513	580	20
991117861015044	Nice try, FBI.	2016-10-17T05:54:58+0000	1476683698	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991117861015044/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14657514_991117861015044_8594669513935167873_n.jpg?oh=04f229cd7a3edb81324b2576e637586b&oe=58F276EC	310	390	17
991116024348561	The globalists and special interests are terrified of what Julian Assange and Wikileaks are revealing about Crooked Hillary Clinton.	2016-10-17T05:49:41+0000	1476683381	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991116024348561/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14729320_991116024348561_1130249937846823333_n.png?oh=fc4bac415268707c9e3108639fef6628&oe=58B3B560	1058	1248	52
991089167684580	SO IMPORTANT!	2016-10-17T04:39:42+0000	1476679182	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991089167684580/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14650619_991089167684580_8203147719618321015_n.jpg?oh=a81a5d4d925c956fb6b5623ebc6f4113&oe=58F244E1	1163	1322	63
991057714354392		2016-10-17T03:37:50+0000	1476675470	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991057714354392/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14681665_991057714354392_713854869926392730_n.jpg?oh=d052af0243b116754e2c697242f5aa3d&oe=58B7FEDF	1820	1999	116
990982101028620		2016-10-17T01:16:46+0000	1476667006	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/990982101028620/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14650576_990982101028620_2287925578357066556_n.jpg?oh=89b8d10afa5670c8e3f87129c7d30271&oe=58FD3B98	682	848	41
990947714365392	RIP Based Australian Shitposter	2016-10-17T00:01:25+0000	1476662485	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/990947714365392/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14720388_990947714365392_8128772841459798552_n.png?oh=054659c2cfcac4b78b1bc37e9243096b&oe=58B46DDA	87	120	25
990944154365748		2016-10-17T00:33:00+0000	1476664380	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/990944154365748/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14702503_990944154365748_5607158688917391103_n.jpg?oh=b0145997b2579810861dc11ed55f4bdf&oe=58F4AF45	148	165	7
990941397699357	Animals never change!	2016-10-16T23:46:55+0000	1476661615	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/990941397699357/?type=3	https://scontent.xx.fbcdn.net/v/t31.0-8/14681952_990941397699357_7033698625629077381_o.jpg?oh=1e60c076c995ab86be8cc7b3ceae8241&oe=58ED86A3	772	951	21
990934347700062	Look at all the fake accounts tweeting the same message about the vicious firebombing in North Carolina. None have more than 400 followers! Not going to work- America is sick of Democrat violence.	2016-10-16T23:37:59+0000	1476661079	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/990934347700062/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14708199_990934347700062_3437688107809680386_n.png?oh=e4a14597ffb82547925915b5625bb138&oe=58F4349E	72	88	9
990929691033861	These animals should be charged with terrorism. Why won't the lying press cover this?	2016-10-16T23:29:00+0000	1476660540	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/990929691033861/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14718869_990929691033861_6263301296669103935_n.png?oh=dc5f017caf5c9612862f36fd753a3e83&oe=58BA3E45	245	292	16
990880364372127	SAD!	2016-10-16T22:05:05+0000	1476655505	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/990880364372127/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14725568_990880364372127_2952301831488878861_n.jpg?oh=c9e4e3324cb947300002ee459c3eacb1&oe=58E4813A	379	658	239
